Year,Year Code,State,StateCode,Deaths,Population,Avg Daily Max Heat Index (C),,,
2002,2002,Ohio,OH,20,11407889,31.85,,,
2002,2002,Oklahoma,OK,1,3489080,33.98,,,
2002,2002,Oregon,OR,0,3513424,28.74,,,
2002,2002,Pennsylvania,PA,57,12331031,31.29,,,
2002,2002,Rhode Island,RI,0,1065995,32.66,,,
2002,2002,South Carolina,SC,7,4107795,33.52,,,
2002,2002,South Dakota,SD,0,760020,32.49,,,
2002,2002,Tennessee,TN,10,5795918,32.62,,,
2002,2002,Texas,TX,65,21690325,33.7,,,
2002,2002,Utah,UT,0,2324815,29.82,,,
2002,2002,Vermont,VT,0,615442,31.26,,,
2002,2002,Virginia,VA,9,7286873,32.12,,,
2002,2002,Washington,WA,3,6052349,29.51,,,
2002,2002,West Virginia,WV,0,1805414,31.23,,,
2002,2002,Wisconsin,WI,9,5445162,32.29,,,
2002,2002,Wyoming,WY,0,500017,29.14,,,
2003,2003,Alabama,AL,4,4503491,32.73,,,
2003,2003,Alaska,AK,0,648414,0,,,
2003,2003,Arizona,AZ,57,5510364,31.58,,,
2003,2003,Arkansas,AR,7,2724816,33.69,,,
2003,2003,California,CA,39,35253159,32.05,,,
2003,2003,Colorado,CO,2,4528732,29.76,,,
2003,2003,Connecticut,CT,0,3484336,31.99,,,
2003,2003,Delaware,DE,0,818003,32.11,,,
2003,2003,District of Columbia,DC,0,568502,32.68,,,
2003,2003,Florida,FL,22,17004085,33.47,,,
2003,2003,Georgia,GA,10,8622793,32.77,,,
2003,2003,Hawaii,HI,0,1251154,0,,,
2003,2003,Idaho,ID,0,1363380,29.36,,,
2003,2003,Illinois,IL,14,12556006,32.41,,,
2003,2003,Indiana,IN,1,6196638,32.28,,,
2003,2003,Iowa,IA,5,2941999,32.2,,,
2003,2003,Kansas,KS,5,2723004,33.23,,,
2003,2003,Kentucky,KY,6,4117170,32.15,,,
2003,2003,Louisiana,LA,4,4521042,34.06,,,
2003,2003,Maine,ME,0,1306513,30.92,,,
2003,2003,Maryland,MD,4,5496269,31.99,,,
2003,2003,Massachusetts,MA,2,6422565,31.62,,,
2003,2003,Michigan,MI,3,10041152,30.12,,,
2003,2003,Minnesota,MN,1,5053572,30.77,,,
2003,2003,Mississippi,MS,11,2868312,33.38,,,
2003,2003,Missouri,MO,19,5709403,33.48,,,
2003,2003,Montana,MT,0,919630,30.17,,,
2003,2003,Nebraska,NE,3,1738643,31.79,,,
2003,2003,Nevada,NV,22,2248850,29.5,,,
2003,2003,New Hampshire,NH,0,1279840,31.21,,,
2003,2003,New Jersey,NJ,7,8601402,31.81,,,
2003,2003,New Mexico,NM,0,1877574,29.75,,,
2003,2003,New York,NY,7,19175939,30.68,,,
2003,2003,North Carolina,NC,9,8422501,32.9,,,
2003,2003,North Dakota,ND,0,638817,30.94,,,
2003,2003,Ohio,OH,2,11434788,31.51,,,
2003,2003,Oklahoma,OK,12,3504892,33.77,,,
2003,2003,Oregon,OR,0,3547376,28.82,,,
2003,2003,Pennsylvania,PA,19,12374658,30.89,,,
2003,2003,Rhode Island,RI,1,1071342,31.84,,,
2003,2003,South Carolina,SC,4,4150297,33.07,,,
2003,2003,South Dakota,SD,0,763729,31.52,,,
2003,2003,Tennessee,TN,9,5847812,32.21,,,
2003,2003,Texas,TX,66,22030931,33.44,,,
2003,2003,Utah,UT,0,2360137,29.69,,,
2003,2003,Vermont,VT,0,617858,30.7,,,
2003,2003,Virginia,VA,3,7366977,32.41,,,
2003,2003,Washington,WA,3,6104115,29.56,,,
2003,2003,West Virginia,WV,0,1812295,30.87,,,
2003,2003,Wisconsin,WI,7,5479203,31.23,,,
2003,2003,Wyoming,WY,0,503453,29.22,,,
2004,2004,Alabama,AL,2,4530729,32.62,,,
2004,2004,Alaska,AK,0,659286,0,,,
2004,2004,Arizona,AZ,46,5652404,30.73,,,
2004,2004,Arkansas,AR,6,2749686,32.71,,,
2004,2004,California,CA,40,35574576,31.33,,,
2004,2004,Colorado,CO,1,4575013,28.88,,,
2004,2004,Connecticut,CT,0,3496094,30.34,,,
2004,2004,Delaware,DE,0,830803,30.81,,,
2004,2004,District of Columbia,DC,0,567754,31.47,,,
2004,2004,Florida,FL,31,17415318,33.88,,,
2004,2004,Georgia,GA,7,8769252,32.78,,,
2004,2004,Hawaii,HI,0,1273569,0,,,
2004,2004,Idaho,ID,2,1391802,28.88,,,
2004,2004,Illinois,IL,4,12589773,31.64,,,
2004,2004,Indiana,IN,4,6233007,31.29,,,
2004,2004,Iowa,IA,2,2953635,31.36,,,
2004,2004,Kansas,KS,4,2734373,31.77,,,
2004,2004,Kentucky,KY,4,4146101,31.42,,,
2004,2004,Louisiana,LA,6,4552238,34.23,,,
2004,2004,Maine,ME,0,1313688,29.83,,,
2004,2004,Maryland,MD,5,5546935,30.83,,,
2004,2004,Massachusetts,MA,4,6412281,30.44,,,
2004,2004,Michigan,MI,4,10055315,29.9,,,
2004,2004,Minnesota,MN,2,5087713,30.2,,,
2004,2004,Mississippi,MS,6,2889010,33.19,,,
2004,2004,Missouri,MO,5,5747741,32.12,,,
2004,2004,Montana,MT,0,930009,28.78,,,
2004,2004,Nebraska,NE,2,1749370,30.91,,,
2004,2004,Nevada,NV,5,2346222,29.02,,,
2004,2004,New Hampshire,NH,0,1290121,30.15,,,
2004,2004,New Jersey,NJ,3,8634561,30.54,,,
2004,2004,New Mexico,NM,6,1903808,29.3,,,
2004,2004,New York,NY,11,19175939,30.07,,,
2004,2004,North Carolina,NC,4,8553152,31.72,,,
2004,2004,North Dakota,ND,0,644705,29.4,,,
2004,2004,Ohio,OH,2,11452251,30.39,,,
2004,2004,Oklahoma,OK,6,3525233,32.74,,,
2004,2004,Oregon,OR,1,3569463,28.71,,,
2004,2004,Pennsylvania,PA,8,12410722,29.95,,,
2004,2004,Rhode Island,RI,0,1074579,30.37,,,
2004,2004,South Carolina,SC,2,4210921,32.63,,,
2004,2004,South Dakota,SD,0,770396,30.43,,,
2004,2004,Tennessee,TN,7,5910809,31.55,,,
2004,2004,Texas,TX,55,22394023,33.2,,,
2004,2004,Utah,UT,0,2401580,28.89,,,
2004,2004,Vermont,VT,0,619920,30.03,,,
2004,2004,Virginia,VA,4,7475575,31.13,,,
2004,2004,Washington,WA,0,6178645,29.9,,,
2004,2004,West Virginia,WV,0,1816438,30.19,,,
2004,2004,Wisconsin,WI,5,5514026,30.42,,,
2004,2004,Wyoming,WY,0,509106,28.15,,,
2005,2005,Alabama,AL,5,4569805,33.85,,,
2005,2005,Alaska,AK,0,666946,0,,,
2005,2005,Arizona,AZ,87,5839077,31.28,,,
2005,2005,Arkansas,AR,13,2781097,34.88,,,
2005,2005,California,CA,65,35827943,31.76,,,
2005,2005,Colorado,CO,9,4631888,29.79,,,
2005,2005,Connecticut,CT,0,3506956,31.86,,,
2005,2005,Delaware,DE,1,845150,32.16,,,
2005,2005,District of Columbia,DC,0,567136,32.97,,,
2005,2005,Florida,FL,28,17842038,34.47,,,
2005,2005,Georgia,GA,16,8925922,33.7,,,
2005,2005,Hawaii,HI,0,1292729,0,,,
2005,2005,Idaho,ID,0,1428241,28.96,,,
2005,2005,Illinois,IL,14,12609903,33.53,,,
2005,2005,Indiana,IN,4,6278616,32.6,,,
2005,2005,Iowa,IA,6,2964454,32.71,,,
2005,2005,Kansas,KS,6,2745299,33.01,,,
2005,2005,Kentucky,KY,8,4182742,32.76,,,
2005,2005,Louisiana,LA,20,4576628,35.45,,,
2005,2005,Maine,ME,0,1318787,30.85,,,
2005,2005,Maryland,MD,46,5592379,32.22,,,
2005,2005,Massachusetts,MA,1,6403290,31.66,,,
2005,2005,Michigan,MI,4,10051137,31.18,,,
2005,2005,Minnesota,MN,7,5119598,31.97,,,
2005,2005,Mississippi,MS,12,2905943,34.68,,,
2005,2005,Missouri,MO,25,5790300,33.7,,,
2005,2005,Montana,MT,0,940102,29.63,,,
2005,2005,Nebraska,NE,1,1761497,32.04,,,
2005,2005,Nevada,NV,44,2432143,29.48,,,
2005,2005,New Hampshire,NH,0,1298492,31.08,,,
2005,2005,New Jersey,NJ,9,8651974,31.89,,,
2005,2005,New Mexico,NM,5,1932274,29.77,,,
2005,2005,New York,NY,14,19132610,31.14,,,
2005,2005,North Carolina,NC,18,8705407,33.53,,,
2005,2005,North Dakota,ND,0,646089,31.24,,,
2005,2005,Ohio,OH,14,11463320,31.61,,,
2005,2005,Oklahoma,OK,16,3548597,34.43,,,
2005,2005,Oregon,OR,2,3613202,28.55,,,
2005,2005,Pennsylvania,PA,39,12449990,31.05,,,
2005,2005,Rhode Island,RI,0,1067916,31.52,,,
2005,2005,South Carolina,SC,10,4270150,34.07,,,
2005,2005,South Dakota,SD,3,775493,31.96,,,
2005,2005,Tennessee,TN,14,5991057,33.03,,,
2005,2005,Texas,TX,100,22778123,34.25,,,
2005,2005,Utah,UT,0,2457719,29.41,,,
2005,2005,Vermont,VT,0,621215,30.76,,,
2005,2005,Virginia,VA,12,7577105,32.57,,,
2005,2005,Washington,WA,4,6257305,29.21,,,
2005,2005,West Virginia,WV,0,1820492,31.24,,,
2005,2005,Wisconsin,WI,12,5546166,31.71,,,
2005,2005,Wyoming,WY,0,514157,28.78,,,
2006,2006,Alabama,AL,8,4628981,33.87,,,
2006,2006,Alaska,AK,0,675302,0,,,
2006,2006,Arizona,AZ,113,6029141,31.44,,,
2006,2006,Arkansas,AR,12,2821761,34.46,,,
2006,2006,California,CA,195,36021202,32.1,,,
2006,2006,Colorado,CO,6,4720423,29.62,,,
2006,2006,Connecticut,CT,0,3517460,32.46,,,
2006,2006,Delaware,DE,2,859268,32.65,,,
2006,2006,District of Columbia,DC,0,570681,33.26,,,
2006,2006,Florida,FL,28,18166990,33.73,,,
2006,2006,Georgia,GA,13,9155813,33.56,,,
2006,2006,Hawaii,HI,0,1309731,0,,,
2006,2006,Idaho,ID,3,1468669,29.04,,,
2006,2006,Illinois,IL,51,12643955,33.29,,,
2006,2006,Indiana,IN,12,6332669,33.21,,,
2006,2006,Iowa,IA,6,2982644,32.4,,,
2006,2006,Kansas,KS,20,2762931,33.11,,,
2006,2006,Kentucky,KY,6,4219239,33.15,,,
2006,2006,Louisiana,LA,14,4302665,34.73,,,
2006,2006,Maine,ME,1,1323619,30.83,,,
2006,2006,Maryland,MD,45,5627367,32.5,,,
2006,2006,Massachusetts,MA,6,6410084,32.23,,,
2006,2006,Michigan,MI,22,10036081,31.58,,,
2006,2006,Minnesota,MN,3,5163555,30.99,,,
2006,2006,Mississippi,MS,12,2904978,34.4,,,
2006,2006,Missouri,MO,22,5842704,33.65,,,
2006,2006,Montana,MT,0,952692,29.48,,,
2006,2006,Nebraska,NE,2,1772693,31.78,,,
2006,2006,Nevada,NV,31,2522658,29.47,,,
2006,2006,New Hampshire,NH,0,1308389,32.03,,,
2006,2006,New Jersey,NJ,17,8661679,32.43,,,
2006,2006,New Mexico,NM,6,1962137,29.69,,,
2006,2006,New York,NY,61,19104631,31.84,,,
2006,2006,North Carolina,NC,12,8917270,32.83,,,
2006,2006,North Dakota,ND,0,649422,30.79,,,
2006,2006,Ohio,OH,14,11481213,32.11,,,
2006,2006,Oklahoma,OK,40,3594090,34.38,,,
2006,2006,Oregon,OR,6,3670883,28.85,,,
2006,2006,Pennsylvania,PA,51,12510809,31.44,,,
2006,2006,Rhode Island,RI,0,1063096,32.32,,,
2006,2006,South Carolina,SC,12,4357847,33.41,,,
2006,2006,South Dakota,SD,1,783033,31.74,,,
2006,2006,Tennessee,TN,14,6088766,33.07,,,
2006,2006,Texas,TX,84,23359580,33.79,,,
2006,2006,Utah,UT,0,2525507,29.39,,,
2006,2006,Vermont,VT,0,622892,31.62,,,
2006,2006,Virginia,VA,15,7673725,32.36,,,
2006,2006,Washington,WA,12,6370753,29.89,,,
2006,2006,West Virginia,WV,0,1827912,31.43,,,
2006,2006,Wisconsin,WI,10,5577655,31.67,,,
2006,2006,Wyoming,WY,0,522667,28.81,,,
2007,2007,Alabama,AL,18,4672840,33.68,,,
2007,2007,Alaska,AK,0,680300,0,,,
2007,2007,Arizona,AZ,52,6167681,31.32,,,
2007,2007,Arkansas,AR,12,2848650,33.89,,,
2007,2007,California,CA,74,36250311,31.62,,,
2007,2007,Colorado,CO,0,4803868,29.65,,,
2007,2007,Connecticut,CT,0,3527270,31.06,,,
2007,2007,Delaware,DE,0,871749,31.85,,,
2007,2007,District of Columbia,DC,3,574404,32.25,,,
2007,2007,Florida,FL,17,18367842,33.94,,,
2007,2007,Georgia,GA,23,9349988,33.44,,,
2007,2007,Hawaii,HI,0,1315675,0,,,
2007,2007,Idaho,ID,5,1505105,29.37,,,
2007,2007,Illinois,IL,16,12695866,32.71,,,
2007,2007,Indiana,IN,5,6379599,32.22,,,
2007,2007,Iowa,IA,5,2999212,32.92,,,
2007,2007,Kansas,KS,12,2783785,32.96,,,
2007,2007,Kentucky,KY,10,4256672,32.34,,,
2007,2007,Louisiana,LA,8,4375581,34.44,,,
2007,2007,Maine,ME,0,1327040,30.74,,,
2007,2007,Maryland,MD,20,5653408,31.8,,,
2007,2007,Massachusetts,MA,0,6431559,31.12,,,
2007,2007,Michigan,MI,4,10001284,30.75,,,
2007,2007,Minnesota,MN,2,5207203,31.59,,,
2007,2007,Mississippi,MS,13,2928350,34.04,,,
2007,2007,Missouri,MO,40,5887612,33.25,,,
2007,2007,Montana,MT,0,964706,30.19,,,
2007,2007,Nebraska,NE,0,1783440,32.3,,,
2007,2007,Nevada,NV,24,2601072,29.63,,,
2007,2007,New Hampshire,NH,0,1312540,31.11,,,
2007,2007,New Jersey,NJ,8,8677885,31.68,,,
2007,2007,New Mexico,NM,2,1990070,29.54,,,
2007,2007,New York,NY,5,19132335,30.87,,,
2007,2007,North Carolina,NC,15,9118037,32.84,,,
2007,2007,North Dakota,ND,0,652822,31.59,,,
2007,2007,Ohio,OH,15,11500468,31.4,,,
2007,2007,Oklahoma,OK,9,3634349,33.36,,,
2007,2007,Oregon,OR,2,3722417,28.8,,,
2007,2007,Pennsylvania,PA,14,12563937,30.9,,,
2007,2007,Rhode Island,RI,0,1057315,30.79,,,
2007,2007,South Carolina,SC,26,4444110,33.57,,,
2007,2007,South Dakota,SD,4,791623,32.42,,,
2007,2007,Tennessee,TN,24,6175727,32.69,,,
2007,2007,Texas,TX,29,23831983,32.94,,,
2007,2007,Utah,UT,0,2597746,29.67,,,
2007,2007,Vermont,VT,0,623481,30.92,,,
2007,2007,Virginia,VA,8,7751000,31.99,,,
2007,2007,Washington,WA,8,6461587,29.42,,,
2007,2007,West Virginia,WV,1,1834052,31.07,,,
2007,2007,Wisconsin,WI,5,5610775,31.41,,,
2007,2007,Wyoming,WY,0,534876,29.03,,,
2008,2008,Alabama,AL,8,4718206,33.34,,,
2008,2008,Alaska,AK,0,687455,0,,,
2008,2008,Arizona,AZ,54,6280362,31.14,,,
2008,2008,Arkansas,AR,8,2874554,34.42,,,
2008,2008,California,CA,51,36604337,31.71,,,
2008,2008,Colorado,CO,8,4889730,29.45,,,
2008,2008,Connecticut,CT,0,3545579,31.11,,,
2008,2008,Delaware,DE,0,883874,31.26,,,
2008,2008,District of Columbia,DC,5,580236,31.65,,,
2008,2008,Florida,FL,21,18527305,33.72,,,
2008,2008,Georgia,GA,8,9504843,33.23,,,
2008,2008,Hawaii,HI,1,1332213,0,,,
2008,2008,Idaho,ID,2,1534320,28.81,,,
2008,2008,Illinois,IL,8,12747038,32.67,,,
2008,2008,Indiana,IN,0,6424806,32.08,,,
2008,2008,Iowa,IA,2,3016734,31.88,,,
2008,2008,Kansas,KS,8,2808076,32.59,,,
2008,2008,Kentucky,KY,8,4289878,31.91,,,
2008,2008,Louisiana,LA,6,4435586,34.73,,,
2008,2008,Maine,ME,0,1330509,30.31,,,
2008,2008,Maryland,MD,19,5684965,31.23,,,
2008,2008,Massachusetts,MA,0,6468967,31.11,,,
2008,2008,Michigan,MI,3,9946889,30.43,,,
2008,2008,Minnesota,MN,4,5247018,30.03,,,
2008,2008,Mississippi,MS,10,2947806,34.13,,,
2008,2008,Missouri,MO,6,5923916,33.4,,,
2008,2008,Montana,MT,0,976415,29,,,
2008,2008,Nebraska,NE,1,1796378,31.19,,,
2008,2008,Nevada,NV,35,2653630,29.27,,,
2008,2008,New Hampshire,NH,0,1315906,31.02,,,
2008,2008,New Jersey,NJ,13,8711090,31.15,,,
2008,2008,New Mexico,NM,2,2010662,29.39,,,
2008,2008,New York,NY,19,19212436,30.84,,,
2008,2008,North Carolina,NC,25,9309449,32.85,,,
2008,2008,North Dakota,ND,0,657569,29.78,,,
2008,2008,Ohio,OH,13,11515391,31.26,,,
2008,2008,Oklahoma,OK,6,3668976,33.92,,,
2008,2008,Oregon,OR,3,3768748,28.45,,,
2008,2008,Pennsylvania,PA,36,12612285,30.6,,,
2008,2008,Rhode Island,RI,3,1055003,30.84,,,
